tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
280.00;7/2to6/2_0;377.30;15.37;82.00;0.00;6/8to6/7_0;5.10;0.00;tripinfo_82;198.00;82;0;3139.09;84.44;privateType;;0
281.00;8/9to8/8_1;377.30;13.86;125.00;0.00;7/8to7/7_0;5.10;0.00;tripinfo_125;156.00;125;0;1937.36;85.57;privateType;;0
283.00;8/1to9/1_0;377.30;27.55;32.00;0.00;5/5to4/5_0;5.10;0.00;tripinfo_32;251.00;32;0;3955.24;108.06;privateType;;0
285.00;0/8to0/9_0;378.80;27.46;107.00;0.00;1/4to0/4_0;5.10;0.00;tripinfo_107;178.00;107;0;3154.34;64.57;privateType;;0
285.00;1/4to1/3_0;377.30;27.05;16.00;0.00;9/9to8/9_0;5.10;0.00;tripinfo_16;269.00;16;0;5559.35;68.67;privateType;;0
287.00;3/2to2/2_0;377.30;27.58;60.00;0.00;5/7to6/7_0;5.10;0.00;tripinfo_60;227.00;60;2;3934.89;85.22;privateType;;0
288.00;7/6to7/5_1;377.30;13.80;80.00;0.00;9/2to9/3_0;12.10;0.00;tripinfo_bus4;208.00;bus4;2;2716.19;105.83;busType;;0
288.00;6/3to6/2_0;377.30;27.38;123.00;0.00;7/7to7/8_0;5.10;0.00;tripinfo_123;165.00;123;0;3155.24;50.96;privateType;;0
288.00;6/6to6/7_1;377.30;13.74;48.00;0.00;4/3to4/4_0;5.10;0.00;tripinfo_48;240.00;48;0;3137.36;126.78;privateType;;0
289.00;3/6to2/6_0;377.30;27.38;67.00;0.00;4/1to5/1_0;5.10;0.00;tripinfo_67;222.00;67;0;3555.24;93.44;privateType;;0
